vType_id,vType_length,vType_vClass,flow_begin,flow_departPos,flow_departSpeed,flow_end,flow_id,flow_number,route_edges
,,,27.64,last,max,28.64,0_623,1,684464938#1 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 10150792#1 10150792#2
,,,28.09,last,max,148.16,0_364,18,139051731#16 139051731#19 -591388258#1 -683763247#1
,,,28.54,last,max,65.70,0_431,3,145218802#36 145218802#37 172099960#1 172099960#2
,,,29.45,last,max,30.45,0_594,1,683763247#0 591388258#0 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 gneE29
,,,29.90,last,max,30.90,0_394,1,145216628#1 145216628#2 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -145218802#37 -145218802#36
,,,30.36,last,max,31.36,0_247,1,10124969#4 10124969#6 692513877#1 692513877#1.27 692123191 692513882 692513882.119 692513882.255 692513874#0 692513874#1
,,,30.81,last,max,31.81,0_604,1,683763247#0 683763248 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,31.26,last,max,32.26,0_134,1,-32921656#0 683763238#1.51 692513879#1 683763253#1 683763253#1.209 105826050#1
,,,31.72,last,max,32.72,0_182,1,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 gneE11
,,,32.17,last,max,33.17,0_598,1,683763247#0 591388258#0 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 gneE9
